
 displacements (vx,vy,vz) for set NALL and time  0.1000000E-02
         3   8 -6.000000E-07  3.041408E-15  2.438753E-15 -7.928463E-16  8.641722E-16 -1.792050E-16

 strains (elem, integ.pnt.,exx,eyy,ezz,exy,exz,eyz) forset EALL and time  0.3500000E-02

         1   1 -2.857143E-12  8.571428E-13  8.571428E-13 -5.995343E-29 -5.995343E-29  1.893266E-29
         1   2 -2.857143E-12  8.571428E-13  8.571428E-13  1.419950E-28 -3.313216E-28  4.733165E-29
         1   3 -2.857143E-12  8.571428E-13  8.571428E-13 -1.893266E-28 -8.835242E-29  7.573065E-29
         1   4 -2.857143E-12  8.571428E-13  8.571428E-13  1.262177E-29 -3.660315E-28  1.830157E-28
         1   5 -2.857143E-12  8.571428E-13  8.571428E-13 -5.048710E-29  3.155444E-29 -3.155444E-29
         1   6 -2.857143E-12  8.571428E-13  8.571428E-13  1.051441E-56 -2.398137E-28  8.519698E-29
         1   7 -2.857143E-12  8.571428E-13  8.571428E-13 -1.529368E-56  5.048710E-29  2.524355E-29
         1   8 -2.857143E-12  8.571428E-13  8.571428E-13  1.147026E-56 -2.524355E-28  2.208811E-28
         2   1 -2.857143E-12  8.571428E-13  8.571428E-13 -9.914910E-23 -3.221480E-21 -1.497354E-22
         2   2 -2.857143E-12  8.571428E-13  8.571428E-13  1.171400E-21  6.731157E-21  2.247091E-22
         2   3 -2.857143E-12  8.571428E-13  8.571428E-13 -3.700295E-22 -2.798551E-21 -3.478013E-22
         2   4 -2.857143E-12  8.571428E-13  8.571428E-13  1.324036E-21 -1.951518E-21 -1.058184E-22
         2   5 -2.857143E-12  8.571428E-13  8.571428E-13 -1.670271E-22 -2.766179E-21 -3.607541E-22
         2   6 -2.857143E-12  8.571428E-13  8.571428E-13 -1.861093E-21 -3.401454E-21  1.169154E-21
         2   7 -2.857143E-12  8.571428E-13  8.571428E-13 -7.399617E-21 -1.187787E-21 -5.588201E-22
         2   8 -2.857143E-12  8.571428E-13  8.571428E-13 -6.233538E-22 -2.881853E-21  8.386259E-22
         3   1 -2.857143E-12  8.571428E-13  8.571428E-13  2.048142E-22 -1.693895E-20  3.293866E-22
         3   2 -2.857143E-12  8.571428E-13  8.571428E-13  1.714547E-20  3.389842E-21 -2.972532E-22
         3   3 -2.857143E-12  8.571428E-13  8.571428E-13  7.643770E-22 -8.361870E-22  4.015383E-22
         3   4 -2.857143E-12  8.571428E-13  8.571428E-13 -3.470788E-21  1.102227E-20  3.520632E-22
         3   5 -2.857143E-12  8.571428E-13  8.571428E-13  5.005740E-22 -1.185208E-20  1.157136E-21
         3   6 -2.857143E-12  8.571428E-13  8.571428E-13  1.405310E-20 -8.406520E-22 -1.758681E-21
         3   7 -2.857143E-12  8.571428E-13  8.571428E-13 -1.168436E-20 -9.896956E-21  1.229287E-21
         3   8 -2.857143E-12  8.571428E-13  8.571428E-13 -4.908096E-21  5.349637E-21 -1.109364E-21

 displacements (vx,vy,vz) for set NALL and time  0.5750000E-02

         1  0.000000E+00  0.000000E+00  0.000000E+00
         2 -2.346939E-09  0.000000E+00  0.000000E+00
         3 -8.625000E-02  0.000000E+00  0.000000E+00
         4 -8.625000E-02  0.000000E+00  0.000000E+00
         5 -1.725000E-01  0.000000E+00  0.000000E+00
         6 -1.725000E-01  0.000000E+00  0.000000E+00
         7  0.000000E+00  7.040816E-10  0.000000E+00
         8 -2.346939E-09  7.040816E-10  0.000000E+00
         9 -8.625000E-02  7.040816E-10  0.000000E+00
        10 -8.625000E-02  7.040816E-10  0.000000E+00
        11 -1.725000E-01  7.040816E-10  0.000000E+00
        12 -1.725000E-01  7.040816E-10  0.000000E+00
        13  0.000000E+00  0.000000E+00  9.857142E-10
        14 -2.346939E-09  0.000000E+00  9.857142E-10
        15 -8.625000E-02  0.000000E+00  9.857142E-10
        16 -8.625000E-02  0.000000E+00  9.857142E-10
        17 -1.725000E-01  0.000000E+00  9.857142E-10
        18 -1.725000E-01  0.000000E+00  9.857142E-10
        19  0.000000E+00  7.040816E-10  9.857142E-10
        20 -2.346939E-09  7.040816E-10  9.857142E-10
        21 -8.625000E-02  7.040816E-10  9.857142E-10
        22 -8.625000E-02  7.040816E-10  9.857142E-10
        23 -1.725000E-01  7.040816E-10  9.857142E-10
        24 -1.725000E-01  7.040816E-10  9.857143E-10

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set EALL and time  0.5750000E-02

         1   1 -9.857142E-07  5.293956E-23 -5.293956E-23 -2.038902E-23 -3.058353E-23  1.223341E-23
         1   2 -9.857142E-07  5.293956E-23  2.646978E-22 -3.262243E-23 -1.916568E-22 -2.038902E-24
         1   3 -9.857142E-07  1.588187E-22  2.759342E-73 -5.301145E-23 -1.492976E-34  4.077804E-23
         1   4 -9.857142E-07  1.588187E-22  2.646978E-22 -6.524487E-23 -7.340047E-23  1.019451E-23
         1   5 -9.857142E-07 -1.588187E-22 -3.705769E-22  1.223341E-23  3.873914E-23 -4.077804E-24
         1   6 -9.857142E-07 -2.117582E-22 -1.058791E-22  1.182563E-22 -1.223341E-22 -6.116706E-24
         1   7 -9.857142E-07  5.293956E-23 -1.588187E-22 -4.077804E-23  7.340047E-23  3.262243E-23
         1   8 -9.857142E-07 -1.026294E-49 -1.852888E-51  6.524487E-23 -5.971902E-34  6.116706E-24
         2   1 -9.857143E-07 -1.963367E-15 -2.355907E-15  1.867678E-15  3.671892E-16  2.327590E-18
         2   2 -9.857143E-07 -2.147799E-15 -1.913448E-15  2.257368E-16  1.461816E-15 -3.122893E-18
