
 displacements (vx,vy,vz) for set NALL and time  0.5000000E-01
         4   5 -6.644444E-03  1.993333E-03  1.993333E-03  5.337936E-20 -2.732330E-19 -1.901132E-19
         4   6 -6.644444E-03  1.993333E-03  1.993333E-03  3.764716E-19  1.306323E-19  1.357951E-19
         4   7 -6.644444E-03  1.993333E-03  1.993333E-03  1.076974E-19 -5.572612E-20  1.086361E-19
         4   8 -6.644444E-03  1.993333E-03  1.993333E-03  4.307897E-19  4.289123E-19  1.629542E-19
         5   1 -6.644444E-03  1.993333E-03  1.993333E-03  8.587632E-19  1.561613E-18 -1.901132E-19
         5   2 -6.644444E-03  1.993333E-03  1.993333E-03  5.356710E-19 -1.750083E-19  1.222156E-19
         5   3 -6.644444E-03  1.993333E-03  1.993333E-03  2.116400E-19 -2.715903E-20  1.629542E-19
         5   4 -6.644444E-03  1.993333E-03  1.993333E-03  1.847157E-19  1.534453E-18  2.851698E-19
         5   5 -6.644444E-03  1.993333E-03  1.993333E-03  7.529432E-19  9.421177E-19  1.645692E-36
         5   6 -6.644444E-03  1.993333E-03  1.993333E-03  9.683380E-19 -9.022005E-19  4.209650E-19
         5   7 -6.644444E-03  1.993333E-03  1.993333E-03  4.270348E-19  3.221535E-19  1.086361E-19
         5   8 -6.644444E-03  1.993333E-03  1.993333E-03  5.347323E-19  1.560674E-18  2.444313E-19
         6   1 -6.644444E-03  1.993333E-03  1.993333E-03  8.615793E-19  8.877997E-19 -5.431806E-20
         6   2 -6.644444E-03  1.993333E-03  1.993333E-03  3.230922E-19 -1.885409E-18  1.629542E-19
         6   3 -6.644444E-03  1.993333E-03  1.993333E-03  8.615793E-19  1.210892E-18  2.987493E-19
         6   4 -6.644444E-03  1.993333E-03  1.993333E-03  8.077306E-19  2.287866E-18  3.530674E-19
         6   5 -6.644444E-03  1.993333E-03  1.993333E-03  9.702154E-19  1.329790E-19  5.431806E-20
         6   6 -6.644444E-03  1.993333E-03  1.993333E-03 -1.067587E-19 -5.132055E-19  1.357951E-20
         6   7 -6.644444E-03  1.993333E-03  1.993333E-03  8.615793E-19  1.397250E-18  4.345445E-19
         6   8 -6.644444E-03  1.993333E-03  1.993333E-03  3.526483E-38  1.074158E-18  1.629542E-19
         7   1 -6.644444E-03  1.993333E-03  1.993333E-03  8.030371E-20  6.695887E-20  8.147709E-20
         7   2 -6.644444E-03  1.993333E-03  1.993333E-03  8.072613E-19  7.669921E-19 -4.073854E-20
         7   3 -6.644444E-03  1.993333E-03  1.993333E-03  1.346218E-19  5.291000E-20 -5.703396E-19
         7   4 -6.644444E-03  1.993333E-03  1.993333E-03  8.615793E-19  3.221535E-19 -5.839191E-19
         7   5 -6.644444E-03  1.993333E-03  1.993333E-03 -3.526483E-38 -2.833241E-20  3.259084E-19
         7   6 -6.644444E-03  1.993333E-03  1.993333E-03  4.307897E-19  3.216842E-19  5.431806E-20
         7   7 -6.644444E-03  1.993333E-03  1.993333E-03 -7.052966E-38 -1.643622E-19 -1.086361E-19
         7   8 -6.644444E-03  1.993333E-03  1.993333E-03  4.307897E-19  3.202761E-19 -1.357951E-19
         8   1 -6.644444E-03  1.993333E-03  1.993333E-03  8.568858E-19  1.426756E-18 -2.715903E-20
         8   2 -6.644444E-03  1.993333E-03  1.993333E-03  1.853087E-18 -4.714109E-19  3.938059E-19
         8   3 -6.644444E-03  1.993333E-03  1.993333E-03  1.181855E-18  1.882358E-19 -2.444313E-19
         8   4 -6.644444E-03  1.993333E-03  1.993333E-03  1.370326E-18 -1.348564E-19  9.098275E-19
         8   5 -6.644444E-03  1.993333E-03  1.993333E-03  5.356710E-19  1.318120E-18 -5.431806E-20
         8   6 -6.644444E-03  1.993333E-03  1.993333E-03 -9.720929E-19 -1.761817E-19  4.345445E-19
         8   7 -6.644444E-03  1.993333E-03  1.993333E-03  4.307897E-19 -1.086361E-19 -4.345445E-19
         8   8 -6.644444E-03  1.993333E-03  1.993333E-03 -6.461845E-19  5.913971E-19  8.962480E-19
         9   1 -6.644444E-03  1.993333E-03  1.993333E-03  1.723159E-18  1.197312E-18  1.086361E-19
         9   2 -6.644444E-03  1.993333E-03  1.993333E-03  7.000332E-19 -7.412411E-19  4.209650E-19
         9   3 -6.644444E-03  1.993333E-03  1.993333E-03  1.723159E-18 -5.431806E-20  0.000000E+00
         9   4 -6.644444E-03  1.993333E-03  1.993333E-03  7.538819E-19  4.841690E-19  5.431806E-19
         9   5 -6.644444E-03  1.993333E-03  1.993333E-03 -8.615793E-19  2.668968E-19  4.345445E-19
         9   6 -6.644444E-03  1.993333E-03  1.993333E-03 -2.153948E-19 -4.869851E-19  6.653962E-19
         9   7 -6.644444E-03  1.993333E-03  1.993333E-03 -8.615793E-19 -2.172722E-19  4.345445E-19
         9   8 -6.644444E-03  1.993333E-03  1.993333E-03 -2.153948E-19 -1.877408E-21  7.061348E-19

 displacements (vx,vy,vz) for set NALL and time  0.1000000E+00

         1  0.000000E+00  0.000000E+00  0.000000E+00
         2 -6.666667E+00  0.000000E+00  0.000000E+00
         3 -1.333333E+01  0.000000E+00  0.000000E+00
         4 -2.000000E+01  0.000000E+00  0.000000E+00
         5  0.000000E+00  1.982735E+00  0.000000E+00
         6 -6.666667E+00  1.982735E+00  0.000000E+00
         7 -1.333333E+01  1.982735E+00  0.000000E+00
         8 -2.000000E+01  1.982735E+00  0.000000E+00
         9  0.000000E+00  3.965471E+00  0.000000E+00
        10 -6.666667E+00  3.965471E+00  0.000000E+00
        11 -1.333333E+01  3.965471E+00  0.000000E+00
        12 -2.000000E+01  3.965471E+00  0.000000E+00
        13  0.000000E+00  5.948206E+00  0.000000E+00
        14 -6.666667E+00  5.948206E+00  0.000000E+00
        15 -1.333333E+01  5.948206E+00  0.000000E+00
        16 -2.000000E+01  5.948206E+00  0.000000E+00
        17  0.000000E+00  0.000000E+00  2.775830E+00
        18 -6.666667E+00  0.000000E+00  2.775830E+00
        19 -1.333333E+01  0.000000E+00  2.775830E+00
        20 -2.000000E+01  0.000000E+00  2.775830E+00
        21  0.000000E+00  1.982735E+00  2.775830E+00
        22 -6.666667E+00  1.982735E+00  2.775830E+00
